IDETOR,IDEAPO
47649126A,74174791K
47650734R,93247313T
47650831Y,76136922E
47653448R,77471124V
47655341P,12185471W
47655388D,98270740C
47659058E,42021348A
47659864T,93114711Q
47660651M,47548036K
47661165J,47433224W
47662228H,31322993Y
47664660N,51887579Q
47665610L,84630175L
47666175D,64120791B
47667426H,57078089R
47667672B,54651758D
47668199D,11604694K
47668284W,21113336A
47668965Q,02189236G
47669714Y,43237680A
47670627E,02036288Y
47671388R,40824939P
47672045Z,38904833B
47672524X,04272536X
47672984X,04316487P
47674255Q,04434319B
47674954W,18974878Q
47676550B,16775881A
47676619B,18565913Z
47681209R,73300477Y
47681247Q,54210781B
47681571H,60316712V
47682193L,57143056Q
47684562L,93837457X
47685062J,79973137K
47685631F,84952159A
47686990D,99011804R
47686995Z,99563084V
47688003X,69223589Y
47688664G,25452490T
47688770H,07085848P
47688984W,99702769T
47689794F,63752841S
47691458S,62180291K
47692282B,89238047W
47693345Q,23852062G
47693692H,41932238H
47693714V,58080250Y
47695417H,86417981N
47695831H,78280161Y
47695849J,51482596V
47696033J,03466480N
47696305D,03126734E
47696908Z,40643752S
47697777D,93077940E
47700623A,90153319N
47700789P,90886570T
47701243W,08718810Q
47701778P,61077613D
47702102X,94523983D
47704050A,28863911S
47705989X,57362339V
47706137C,46193200T
47707648J,15395451X
47708553K,95879181R
47708645K,94588587Y
47709255X,21379920V
47711516V,62002744B
47711567E,61452073Y
47711986G,16086336K
47712006R,67294724J
47713778W,25139823H
47713836Z,03079454F
47715253M,99899080Y
47715676Z,90644534Q
47716554H,50264470V
47716864Y,00835382E
47717241S,56307193L
47717527W,40452198M
47718095H,65871196R
47718340X,85730082C
47718947L,73221425M
47719491B,34611466P
47724022B,89672099K
47725266J,84864993F
47725532A,76317625Z
47727173B,21042919N
47727187W,81913749P
47728565T,44073203M
47729421M,02083383C
47729702X,39493188A
47729915Q,94579693J
47730165J,56654410M
47730285H,45751132S
47733618Q,26462381F
47733807K,44490308M
47734053Z,14420021X
47734398Z,25326121Q
47734555X,14962584A
47736181A,30048117C
47737580E,68650941N
47740081Q,68485416H
47740242Q,91090551V
47740737M,12166134P
47741463H,70652957Q
47742789X,48422807X
47743099K,02208603M
47744997X,01706111V
47745800P,77557739Z
47747488V,80556686Z
47748898R,87114979H
47752254E,63920966X
47752709V,30017118W
47755458Y,03124596T
47755659T,35482753D
47756863P,19325527F
47762750F,06210377D
47767509M,85780674N
47769860X,76741826A
47770453M,46572096V
47770641D,41634980N
47770909R,59018107S
47771009D,64101244Z
47771288N,18672668A
47772544A,75638084P
47773023E,03052302H
47774254B,92335403V
47774547M,62204231H
47779939S,73863022V
47780117D,37773165N
47780563H,90654032S
47781543D,28069000F
47782111W,96061486P
47783515A,95243917C
47786015L,65728354N
47786298A,57134513Y
47786803W,61018123C
47786808F,78914844G
47787029K,65394738B
47787158N,24081107S
47787662X,50113560X
47790596T,42205687C
47790661L,17903039T
47793457D,49407379K
47794086V,89795573P
47794290Z,40486636N
47795183X,20328631N
47798318V,34756128T
47798945T,96723860M
47799531B,47837544M
47799635T,28324553F
47800001K,08900333T
47801766S,54232406Q
47802374W,33856986C
47802642V,90661765C
47805207Y,13067353H
47806420T,67912149A
47807084C,59888249K
47807201E,66085828C
47808147W,77222542L
47808451F,66339096N
47808886M,21752607N
47809594T,42102014P
47811014V,68618128C
47811370M,38929971X
47812396L,40513446G
47814091N,66364439D
47814214C,61854199T
47814914F,53062654K
47815962C,78997877F
47816595D,71428812N
47817231R,93599574Q
47817351Y,79229658V
47817565J,75817580N
47817767P,79043785F
47819631D,11454665K
47820080K,23463148C
47820672S,05219597T
47821130J,62875162Q
47821792P,68952551T
47826671B,44542257C
47826854X,65151480R
47826927Z,46629557R
47827976M,32254150P
47828289L,26724266Z
47828638T,80086436E
47829170A,22143476L
47829502J,97385920X
47829656Y,77035263Y
47829802Z,15198882E
47830106L,62945716Y
47830480W,41224286Y
47831653W,37879857F
47832122B,84369704T
47832278Y,07888113X
47833137Z,96488663Y
47835301Q,56267870A
47835631R,67426399J
47835844F,41660790Q
47838657Z,91861727A
47841137X,95022668P
47842021C,40908266Y
47842243N,95745234Y
47842480L,53145593E
47842548H,22055542Z
47844683Z,50768423V
47846159H,66975475G
47846829K,02768018Z
47848392C,50459702W
47849986G,22425547H
47850140C,23274638H
47850717E,87027583E
47851450L,82249073S
47851452K,14428875D
47852070H,13496580L
47852447G,82527624J
47852749F,65579458H
47852969C,62404673S
47854375T,44153746W
47854849Z,19643009C
47856443K,90548950C
47856583T,80521932J
47857902P,15680260X
47858339P,24862676K
47860693Q,87273112A
47862626V,17418190Z
47862642X,97130876J
47865848L,20889102L
47866428R,67866743E
47867129N,60278042X
47869439E,08023942R
47870774T,81740245Q
47870964Y,51191215T
47872133W,10336645P
47873646C,29305219E
47874216S,30772918E
47875757S,50371704W
47875869N,64327075P
47877244F,55849409G
47877299Q,31874769N
47877323V,28590613A
47877700A,40181029Y
47879246P,80103251R
47882289S,00101475E
47883133P,30068049B
47884492X,57001048X
47886508W,22007854M
47887365P,99997315P
47888196B,86225582P
47889396S,93950367J
47890102P,91217131M
47893698Q,58423391X
47893733M,37074893C
47895228M,15636043E
47896147G,80848832Z
47899714Y,92913283E
47899976S,79541498T
47901827A,29955749C
47902347V,99601194Q
47903101N,96289631Q
47905448J,87243305G
47905838N,72600593N
47906522Y,70274954H
47907309B,91701362V
47907569H,97763608S
47908328H,06907866T
47909454V,22494620E
47909740G,27281273F
47910273P,43456189N
47912706A,95724545V
47913445Y,11911282L
47914466S,36001696A
47914712P,51173073M
47916086W,45395403G
47916137F,49121006K
47916243K,37975820Z
47916392D,52317464P
47916821R,15050119T
47922402Q,97719424Z
47922745Z,49363256N
47922927N,51441019R
47923733J,32963310D
47924608Z,45263652C
47925566Y,02176896S
47926808Y,44939665B
47926855F,11916308P
47927820Y,63472805G
47928062H,87098310R
47929312A,66887141J
47929678R,80772187M
47930045T,52937093V
47932342C,92912745J
47932679N,20075307X
47932854A,48624536Y
47932916L,24490776P
47932968W,76646539M
47934754V,45595173L
47935760B,78543021E
47936235A,53747054X
47936621K,74884133C
47937247A,04513218C
47937973Q,61994346P
47939452T,53627448G
47940208C,36654458W
47940559A,20132090Y
47944616N,05318160P
47946926E,49249379P
47948118H,53161387S
47948145E,84825990N
47948248X,78116597H
47949522L,76227202G
47950062F,67123140D
47950562R,56548807H
47952111D,92310165X
47952961P,87511299W
47953613Q,19472279L
47953799H,99990532X
47953850T,72163299V
47954186Z,07879335H
47955519J,20891494L
47955846H,50401830K
47957336J,26982885K
47959972G,01699257V
47960074Z,10030689K
47962444S,97061262C
47962585H,73281690X
47963218F,08979645P
47963558W,15558389Q
47963692K,87104226Y
47964691P,32182188J
47964774E,60755684B
47965725F,08755085C
47966132T,02867735A
47968644M,49531365Z
47969353R,64376181D
47972213D,02943011T
47973265A,40074268B
47973599S,75909196L
47973819M,92004561F
47975008K,11139169Q
47976279G,87508535K
47977245G,53181583V
47977672V,14426150K
47978856M,06587585V
47981479Y,60456500B
47982087Q,49814007D
47983497T,38683044B
47983502M,98783376D
47986616Z,08741808Z
47986653M,78758792F
47988919V,06909776R
47989214J,08433565V
47990181Z,24156787W
47990665S,47598340R
47991111R,36536616N
47993812B,29859113F
47994376T,41364035F
47998168C,36356822D
48001155V,34346940M
48002775G,73445574L
48003648A,14688181J
48005727N,43677209W
48008504Y,91138566P
48009367H,19746845B
48010781Y,61181133Y
48011915J,00199801T
48012264V,81669917E
48014833X,17009847J
48015963J,95035371S
48018547K,95150767C
48018607N,20671971P
48018925P,24306732X
48019010R,65564629R
48019251N,29908820B
48022112K,52337060P
48022393A,66400778P
48023595D,98730033A
48024927F,16063926J
48025872D,20484879K
48026937Q,18053650F
48028597C,77874539N
48030619H,32885288A
48032450D,69255503L
48033853D,96025750Z
48033974S,69654737L
48035348D,22049726V
48035815Q,35702756V
48036373E,94901759X
48037551G,94226790E
48038929W,62801233D
48040136J,58123263D
48040338P,13932250T
48041631J,57824699P
48041640E,35091478X
48043857P,77897348M
48044016Y,49527078M
48044259L,57299471P
48044391J,93879423R
48044968S,03577770M
48045386L,95642183H
48045814X,92496436G
48046054C,29439138N
48046194E,88653116F
48046416Z,03455412F
48046777F,26246673Q
48049212G,93405429Z
48049255R,07694659D
48051350A,74722945Q
48052765S,22534823K
48053076G,81968850R
48053746F,72431651M
48055433S,29876470E
48055523J,14537192L
48055565D,27884229H
48056466J,87075178F
48056897F,74412266K
48057668L,62838284F
48057789W,49467046A
48058101S,14298347Y
48058155T,37025533H
48058211X,23640699B
48058741B,47506246E
48059129P,42252812H
48059940Z,86348593S
48059983B,63516246K
48061265M,39896831L
48061296J,35933854B
48063371H,67108718P
48065313M,33027359A
48066005F,93443473Q
48066938C,88744836A
48068238D,55456479Y
48069251X,58457392V
48069630K,12801454E
48070302A,05450126T
48073869M,71396319H
48074170F,98574115W
48074330Y,01513261E
48075210N,61976345Q
48075333C,15285956H
48075365Y,26529507L
48075871Y,42243878P
48076693T,11133919X
48076721M,56734704Y
48077211N,16919114S
48078179Z,58089451F
48078260A,21733343E
48079487B,13417945K
48083376J,54192608P
48085310S,67697785E
48086688J,87418699T
48087727V,57496744X
48088461S,54169356D
48089190P,83728282W
48089272K,56851339P
48090291M,68213030K
48092541R,31875371Q
48092693S,77554212Y
48093283F,56442190Y
48093810M,38877351Z
48096874X,28120910Y
48098313T,69583167W
48099789G,76228019Q
48101273Q,25781304Y
48101301K,05888793B
48101565D,62519036E
48102372B,26365956K
48102614T,70715764X
48104218V,78175773S
48105153D,63098045Y
48105196Y,70541150N
48106624P,76471066E
48109396C,82279876K
48111684P,97487364R
48111956G,06291122R
48113426W,59220339P
48114256G,89002961E
48115311R,29722861F
48117710P,74825393E
48117920B,76840505N
48118559Y,21996971R
48119224G,53561780R
48119442S,28758975M
48119764S,09913360S
48120800Q,17435156Y
48123199T,39536876Z
48123374Z,97292737T
48123419J,93824125H
48124626R,31100215Y
48124781H,67686370S
48124834W,00309002C
48125630Q,01679437T
48125710G,09786167N
48128418K,82205103K
48129594R,18291441R
48130200D,31168778Y
48131712A,02675311C
48132600V,74789932G
48134048Q,82387533S
48134263R,21970125L
48134999R,97377717H
48135182T,30857904T
48135723N,77908124V
48136078E,90163666D
48136129G,03722916K
48136810H,39860110Y
48137424B,45480172H
48139555A,46956932V
48139597E,16403321C
48139735E,89727408S
48139802C,56359170Q
48141209R,23708216T
48141603G,08179812T
48141954X,43088916A
48142311E,11433470D
48143000K,37665635F
48143067L,24454855J
48145121A,74754677P
48145367L,31790771X
48145813M,16136106L
48145844J,65677967H
48146628S,07349047H
48146740N,16408988Y
48146832N,39932958J
48146875D,89576685B
48147655F,78254976Y
48148318A,89755547W
48149879T,84515478T
48150977V,52778021J
48151377A,31407653A
48151505Q,98214560Y
48152671D,71560909C
48152800T,58337961W
48152823T,93374085L
48153691V,53281665A
48154527W,20565122V
48155209V,84471225E
48156148J,42379273W
48156423N,98413460W
48159273X,27231131M
48160418M,61571339V
48161451A,10450170M
48161784Z,99823572F
48162467F,85663797K
48162962L,53997474Y
48165761N,32829920L
48166580A,16894674R
48167130R,31820778W
48168768Y,91916420W
48169496K,62068718K
48169855N,63576562P
48169906V,29471694T
48170379F,34963041M
48170638J,06635497C
48171651Z,76148985X
48174237R,44820323Q
48175067A,51364686M
48175578P,99309073H
48175914E,54456899Y
48176532L,07810206G
48176890D,06974076Q
48177908S,28131852T
48178623V,85703905V
48178934Y,13677844C
48179196S,91238617D
48179751H,15694540F
48181389T,05412510N
48181580F,89720717V
48181911Q,11814924P
48182387D,37603423X
48183241N,28126586R
48183791X,31034586L
48183801C,95841135C
48185175Z,63795160Z
48185750Z,44282226G
48186763S,97530514A
48186857V,58915620Q
48186864R,19399744A
48188098Q,77822633V
48188158F,62706979D
48189021L,28042467Q
48190605Q,34363082R
48190640M,04689837E
48192632L,01881492T
48193112Q,59957590V
48193944C,00339484G
48194299F,84305945C
48197034M,60097538X
48197211K,24453644K
48198038C,60329165G
48199011G,72671426M
48200907Z,67083677Z
48201910M,28345987M
48203396L,65943232R
48204515B,05660217D
48204699B,25982080S
48205233Q,60306327M
48206091T,07106895X
48206445D,02148140D
48208625G,90418061R
48209828B,06102339W
48210853R,94276627H
48212568Z,76938937G
48213656K,17363100D
48214190A,78355708K
48216571S,51469772G
48217355V,38101026P
48222853H,98706175L
48223615K,50971564E
48224009R,01518328Y
48225219S,49045011H
48225384L,96890203N
48226038Y,20221555R
48226342B,65414806T
48226885W,59153028H
48229643T,71347279Z
48231500V,71297273X
48231661V,33134051K
48232174R,76908995P
48233209R,45032069R
48234613W,56166576R
48237638Z,25750686R
48238235J,00136360Q
48238278X,91971629B
48238360T,07763796P
48238866T,29153883A
48240877X,30672331Z
48242301P,04687919J
48242971B,92924196X
48245136Z,80205811G
48246464P,57611219Z
48246645M,44312697T
48246758A,21829481C
48247651E,58594212X
48248631J,53758522R
48248869K,14024126Z
48248976J,23950066M
48249124T,08673771B
48249815R,30188636D
48252239X,68164188P
48253000N,02460130G
48253366X,42122730R
48254005M,97852399A
48255068X,33016775E
48255543W,33380780Y
48255920B,68342517H
48257500G,93466102J
48257742Q,79652806B
48258899T,22913623B
48259832J,19154533H
48260355F,78283817M
48261103L,02387729F
48261359E,98889523B
48261939G,09872463N
48261963M,80813744R
48263553P,75891186H
48264556E,22121832H
48267015C,28825990K
48267089W,39344322Q
48267659C,33181120D
48272727M,57296999C
48273513D,54067850W
48276076L,94844088T
48277628F,82515790R
48278496R,94149466R
48278830J,32207297Y
48278967N,90530488G
48279322E,53979199Q
48279454Q,06501197V
48280188Z,59473610A
48280510Z,99554734Q
48280962Y,80486223T
48281141R,39293942Y
48282491V,27052938Q
48283243X,19394447L
48283306G,22158781Y
48285547Z,82747420K
48286084E,33499581N
48286110W,30405467L
48287489R,21200819V
48287841P,55598064A
48288271R,08105096B
48290213B,17919133V
48290689G,08636495H
48292607J,79276983P
48295299Z,30126939K
48295522F,73400761X
48296600G,95344870A
48296618E,37252523K
48299906K,24633145F
48301105R,45859813K
48301964D,44690927H
48302513Y,76672441D
48302702B,47418951N
48303590W,37572351B
48304211W,63706285B
48306956X,73287194V
48307424H,78989192Q
48308902R,56209775Y
48310246B,26610370Z
48310313D,87263691N
48310634P,35310922B
48311135A,50933945P
48312329R,60569100A
48313230M,30490073P
48314820P,79298003Y
48315051D,19148349K
48315371F,70545783E
48315912L,40162796N
48316271X,42541054R
48318825B,37719754F
48319896R,78537766B
48319945G,81675732H
48324690B,70958055L
48325911J,39310404T
48328587K,64230699W
48331676M,29432266V
48332164X,94361683C
48333557T,41564389P
48334169Z,70420920A
48334446S,75185761A
48334961R,14623250B
48334986A,65972716E
48338627X,18738761V
48339056W,80460566B
48339371H,60864503V
48340058S,42437255R
48340178C,94764477S
48340501K,64807349L
48341156D,13113006Q
48341441H,04013158A
48341773M,40407090T
48341830Q,62192704Z
48345814K,87377733C
48346069T,62860325Z
48347173T,83090363B
48348705Z,09791827Z
48349469L,20695173A
48351076Q,60974187Z
48351849F,49914193F
48351867W,98699536G
48353094X,39363360X
48353129E,72402123D
48354134S,69790661J
48354594S,78807540H
48356365S,06712789D
48359189X,92963368J
48359519H,13223024W
48359735G,14577191K
48359913K,58770618Y
48360422R,21401506Y
48361299G,89666091Q
48362887M,23071824H
48363003Y,03909719H
48363448Z,18029633W
48363683L,53648827Q
48364035A,41626367R
48366226D,40097995W
48366350H,61849177S
48368236H,73237380K
48368814K,31742668T
48368965B,08805739M
48369988E,57198092J
48371226H,58931891A
48373729Z,47429612R
48374094B,79873140M
48374826F,44243621Q
48375222N,34103717F
48376577X,63050017W
48376812S,48660693F
48380631Q,99577848S
48380857N,58444780D
48381576H,22655347W
48383179B,51589883D
48385302H,56076805E
48386472S,31751671X
48388250E,32063376L
48388443P,57025978P
48389605C,85607220R
48389699E,93133654F
48390072G,87953282V
48390343E,23135075L
48392863N,92023558Y
48393939F,65407852S
48394446P,05278645F
48397235Z,60762576A
48397950Q,47468435T
48398042Q,55491135R
48402903R,68008385F
48406959D,75028210W
48407122B,12868550G
48407663T,25501349F
48407984E,00546124N
48408251J,61480337A
48408596J,91072126S
48410446T,49688606G
48410870X,02509649G
48413002A,96445627A
48414819A,06452854C
48416774A,37040137V
48417026W,08408176C
48419345K,77888425Y
48419719G,53262679S
48419959Z,47223843J
48421017Z,42874235G
48422647B,59803310K
48423121W,43789484Z
48424211B,68139686R
48426109T,56128739E
48426193S,16017522T
48427016X,55782803Y
48427959X,97838241J
48429400W,88559150L
48429785L,56123308L
48432232M,08922465Y
48434231A,17082128M
48435075L,71723868R
48436784A,15673289P
48437128W,94237283G
48448153X,47476072R
48448157Z,77786351Y
48448718T,46917766C
48450509C,87343019J
48452309A,92586733A
48452794M,61014080W
48453470Z,22164634V
48453558X,43507842F
48455201C,61818213D
48455657Q,03964140K
48458520G,71281182L
48458549X,49963430R
48458649H,35236077P
48458670Q,93398251N
48460977T,72052763L
48461497Z,69028375Q
48462145H,35617720N
48462828B,90251267A
48464153W,28933406G
48464994S,28423864G
48465280W,50627192Y
48465373A,26382473R
48465752Z,19909444T
48466713D,49112663G
48467363S,86599932X
48468159Y,26913255N
48469176B,35031273L
48471321V,84744115V
48473198P,98621430Y
48474339E,28562352D
48474681L,02892609Z
48475927T,77365429F
48476736G,94685174Q
48477745R,57174133C
48478965W,15729714Z
48479174G,44265741X
48480193B,09323737C
48482256G,84406542S
48482280M,18856722B
48482705Q,26159754Z
48484129Z,75865179R
48484164A,38757228C
48485469C,25474820C
48487160D,71583257N
48487401C,13879948T
48487530B,01137284A
48488154Z,52661236E
48489748K,26130170P
48492637N,59761554X
48492665V,52330781P
48492726D,02017793A
48492891J,46933205A
48495489N,10961863V
48495895G,76758611K
48497520L,99125655W
48497804G,28601142K
48498160S,56718193D
48498479N,65527703J
48500016P,11751732C
48500241A,79918495G
48501773V,98431016D
48506398L,61263086X
48506412X,22166433E
48507355X,79269788N
48507895K,87754045Y
48508714N,32757914A
48508903V,88553322X
48508961Y,14281825K
48509167M,81713931Z
48510177A,51080129G
48512342Y,16408783P
48512822A,33658549G
48512871Y,05469984D
48515347K,84567168D
48515537G,32633844H
48516321Y,56669336G
48516388G,62812964X
48517257E,18925580F
48518089A,97305343W
48518641A,74084047N
48518971B,65895732L
48519943V,26537166L
48521741K,67828815K
48522882N,16445338Q
48523247D,20116311M
48523419C,18157765R
48524411T,02627120Z
48524763F,51687658B
48524984K,38806853B
48529009K,29582733H
48532666K,28218857L
48533573P,58445905F
48534825H,50591400W
48534963H,68496210W
48535235Z,73056109J
48536063Z,94380898F
48538192G,51659377C
48538200N,48104941G
48538835A,49299350T
48539443J,49596273Q
48540609Y,18773239H
48541099J,31704891N
48541779A,65720224R
48541891T,63819128Q
48544399R,96319648H
48544477X,58440155F
48544525N,39821565D
48544654A,23322047R
48546402A,61636109L
48547578Y,71766373W
48547938K,10930045P
48548427G,56668385L
48548722T,33940144X
48550038M,75398940H
48550576Z,25114592H
48550829Z,87806737M
48551861B,34191500E
48552509S,41660296M
48553768D,08067732E
48554805B,88381070M
48555578W,58228270K
48558213S,86991942P
48558236S,48293241A
48559469Y,90892099D
48560458Y,91190761Q
48561686S,63133230R
48561843B,94958417L
48562177T,81900115J
48567211C,44790112G
48568071Y,05083129Z
48568200C,64389696T
48569462V,81468620K
48571077E,08814115D
48572629X,34439074R
48573686D,78143189E
48573841A,45393889P
48573880L,75405794H
48575504X,51339304S
48576286X,29863630Q
48577254N,04537743G
48579423L,45804130K
48580931D,08202586G
48581490Q,48560722V
48582360N,37156270T
48584462K,10058774T
48585566K,49682162T
48586487E,64532194J
48589113A,24228159M
48590112J,04918970Y
48590162V,08081296Q
48593032N,51198019L
48593039L,66817799Q
48597756K,38731907E
48598694Q,58792991T
48599701B,61691272M
48599949Y,98820999G
48600698L,53850664M
48601229K,50444003N
48603037N,74974727V
48603130J,26495658A
48603289B,58905428J
48604852X,95606407F
48605103P,72665218F
48607057F,91514241R
48608106K,60768321K
48608580N,10278352C
48609224N,01275011Y
48609392L,55482694R
48610714F,85065111W
48610950J,64785358Q
48611166E,63901802M
48612109E,06748703C
48612134R,72924792A
48612415Y,25302294V
48613732N,02045189Y
48615664N,52529193E
48615869X,40682170T
48617653T,04696958J
48620067E,05599446G
48621052H,02529985P
48623384G,94044510V
48625371J,25674025E
48627146V,68868978D
48627341M,29820702Y
48627972S,56226965S
48628945E,09334261X
48629502G,70180392D
48630669K,51620334P
48631313K,51109072J
48631603N,16770002N
48632221D,99167623H
48632945C,06440268S
48634073K,58083081P
48636645V,33910681X
48637465D,61970062N
48638027L,14395474G
48640395H,39483579P
48640513K,94980972B
48642052L,89095668Q
48642407Y,24517056E
48642960F,90203058W
48645765Y,73902052Q
48646180F,85459327K
48646769K,97219541J
48647245Z,53079701W
48647282M,71262555E
48648350S,27308510N
48649617V,32386049W
48649912J,11934587W
48650647N,61328718T
48651116K,30739582J
48651446Y,48368485Z
48651770P,23835522R
48654912E,73745125H
48655016B,37736109D
48655037D,43860738Z
48655097T,44357992P
48655442T,50166518E
48655519P,28525742S
48655607G,42507883L
48655766W,59111961Y
48656029N,78375214T
48656063T,86094066Y
48657039X,36665678K
48658172Q,91277654S
48658969P,88904695N
48659880E,03741750H
48660361C,06860202S
48660921M,46730810P
48662257F,03705155Q
48664325M,73351035X
48664665T,38288252Z
48664867H,87502428D
48665960F,70090281N
48666034N,64309011E
48666342K,65916701N
48666641K,25078783C
48667399C,79693246V
48667513L,56422342F
48668316V,91240608E
48668610N,40568291V
48669432Y,89636504F
48671006Q,42766263V
48671297P,81898062F
48671936A,99569647W
48672630F,83467182K
48673667D,27463364F
48674557W,73721643L
48675784X,59457117R
48677932L,98356987V
48678571Z,18972093Z
48679520C,51051720T
48680511E,79668261X
48681693P,59052969D
48682648C,03915225G
48682751P,53803501S
48683636L,30203974Y
48688724R,11874170Y
48690258V,77227549N
48690430M,48003959S
48691304M,29872538T
48691933J,96071664C
48692051Q,12017212B
48692103E,34378153F
48692738J,38354547T
48693607P,52590340N
48695169Y,49816131V
48697734H,62896871J
48697857A,60468222A
48698350J,54784504E
48698700H,14488318C
48699995W,57570772R
48702178T,10311985G
48702436M,31111716F
48706209Y,74024746M
48706697B,77013986G
48706815Z,62165951X
48710020E,38976600H
48711779X,38585256L
48713310T,51828066G
48714677X,04870291H
48715030H,71846457T
48717188Z,53478548Y
48718910B,17886847T
48720163E,34810066A
48722949W,46133912Y
48723286V,83845391H
48723955L,30553055Q
48724390V,92799664T
48724689V,08177497P
48725126V,56378431A
48725561S,24382844S
48726519F,72806948B
48727137G,10688007E
48727623F,40967745F
48727791Z,13532561M
48728233L,02362165L
48728428F,94672445Y
48729061L,95071517M
48729859N,77818638R
48730055R,67876691B
48730425A,79970724T
48730982P,22611078P
48731662K,82511101G
48731752L,90102371D
48733666R,01161432R
48735317L,82082090N
48735519Z,10663734Z
48736979W,51984730S
48738347J,26678760W
48740422H,38907556C
48740548Y,71337638X
48741148P,14181393F
48741472X,05933689B
48741629Y,54220474K
48742052S,07662807N
48743576K,73085859R
48744919F,34360025A
48747903R,48142165Z
48748293T,16614612X
48749360D,82458548Y
48752162M,49688236W
48753080A,85282352P
48753368S,24394244F
48753517A,61324110S
48755531Q,74675748S
48756358S,48517172Y
48757655R,64416815W
48757849B,76736485K
48758819S,25525554Q
48759307C,51484027E
48760662H,01316769L
48760932N,02962241W
48762005G,73755350P
48762571H,00223228J
48765512S,90537809B
48768527V,95546217P
48768992E,11124549R
48770537A,81327438J
48771405C,07135802Y
48773936K,97234432T
48775495Q,24924442D
48775978Q,04931664G
48777752L,50920552R
48779410K,08958732W
48781812P,01583941T
48782412X,84369501G
48783414T,14250167B
48783644T,31946684Y
48784480P,62449374G
48787201S,12242614J
48787629Y,17192582J
48788991B,26324560W
48790646X,06647744P
48793115H,51178502Y
48793608M,27583026T
48794459M,81939215J
48795822B,99725901V
48800655Z,63441255X
48801759Z,21341627L
48802605D,79007206K
48804168P,11899650W
48804879Y,91614602J
48805034T,67422537S
48810901W,58828663E
48811186B,81130000F
48813221E,67612091A
48813248A,82067078L
48813258J,30858146N
48813708A,88179592F
48814035P,51079446B
48815857J,64181615T
48816424M,99526698V
48817365A,98726908Y
48818577L,91053512P
48819343A,49944279D
48823030X,77351858Y
48823817S,33234095S
48824089B,13056806M
48824154F,97363335B
48825023W,71458097H
48826619B,76932043X
48826978W,72483309M
48827845H,73646507R
48829982Q,26244996H
48830015A,36299554B
48830258Q,53960904Y
48830870F,95992650B
48830938Y,36447506G
48832265E,99502172D
48832534S,13517470W
48833850C,30762822T
48834618Y,66593883M
48836510N,50121572H
48837431J,78373294N
48837804H,83801429D
48839643V,24238996D
48840466N,77185572X
48842652J,36325902R
48843834E,94719457Y
48843908G,54072717Q
48845149A,69792847Z
48845502B,63421082P
48846275W,88807460K
48847158B,17586225B
48850972F,98438084Q
48852521S,79929676F
48852819Z,88430167C
48854504C,70611269G
48854573C,16640523T
48854981Z,93092795L
48855170L,46778159T
48856161K,48335710Z
48857594M,14738616D
48859994J,39595184V
48860618Q,18328753F
48861270R,57019464A
48861274M,54196622C
48861314E,71501193N
48862687S,39476804H
48863507F,78791427M
48863747V,45442713A
48864152P,93686694N
48864679Y,02727073D
48867226T,16980643L
48867367A,77331696S
48869542Q,11105438A
48871220S,80371588C
48871732K,30794818A
48872665B,43245216H
48873181K,98583803F
48874373V,60960978F
48874684Y,35401857G
48874787V,04475694D
48875177Q,74092198K
48875200Q,95587497A
48875426N,45691783Y
48875538D,44307137Y
48877845Q,43329488H
48878418Z,21579999L
48878998L,98759007C
48879851K,75778568P
48880093X,67600481P
48880352Q,80244205B
48880965P,33918046S
48881061N,55567055K
48881616S,80836824N
48881961S,28164614X
48882725C,72843810G
48882901N,61486430R
48884076Z,58320743B
48884667F,28067896F
48885782H,05091199B
48885884M,67843452F
48886397N,25877759E
48890358V,49017209T
48894257Y,26969706K
48894584B,11738438C
48894991G,27321119V
48895225P,15778172B
48896333N,12068430P
48898904F,07564125T
48899032C,65331108E
48899263K,16860235Q
48899325Z,04255863N
48900266N,17797660F
48900268Z,32896360N
48900368E,50094758E
48900491F,03037926V
48901115X,98270554H
48903945B,63652102Q
48906330G,07513097D
48906499N,60218729Z
48908704D,62086654V
48908961J,36243414Z
48910113S,62497873L
48910751D,33377842N
48911648D,30794587W
48912224X,08655323D
48913153L,73229031K
48916866Y,63709527X
48916956G,99285474V
48919179L,97286625Y
48919355B,91545936W
48920577Z,54537192Y
48924018M,50533544Z
48924091D,58898675E
48924710F,52620744X
48925740W,97284244V
48927431Z,09534857T
48927433Q,25038660D
48928517L,87903802X
48930244K,16535928D
48930407T,84888059G
48931236R,66810366N
48931872Q,24006721B
48931892J,39224921P
48932508P,44215968D
48932685R,06031193H
48933274S,68956798S
48933892N,79952051A
48935422R,36292372M
48937332W,72540433C
48937365N,37635501A
48937934Y,92045297X
48938928B,21992608P
48939011W,74767863S
48939290M,45370660D
48939999R,11213727P
48942100D,43109242C
48942235Y,93692372D
48942444P,88385418Y
48942639L,94204281F
48943710D,51700328P
48943878Q,94218968C
48944068E,57332504J
48944848C,84169191R
48944868V,04451188K
48946257A,29051665C
48947009L,71901531N
48947092X,31350823Y
48947093B,62440412N
48950082X,91803424M
48950125F,11050086N
48950303R,70864155M
48951212J,13160234W
48951741J,55530350R
48952376G,71216907Y
48952397W,15064117Z
48953110W,85764185Z
48953772C,22048465K
48956380Y,21420381K
48956464K,78875468G
48956966V,56255867Y
48957353J,89167092W
48957862Q,12573976Z
48958115Q,00935992F
48959291L,82053360D
48960149A,05776350S
48962167C,79043593E
48963060Q,55981284C
